wkt_geom;inom;mi
Polygon ((-71.24999996799994051 -9.00000009399997225, -70.99999981499996693 -9.00000009399997225, -70.99999981499996693 -9.24999999499993919, -71.24999996799994051 -9.24999999499993919, -71.24999996799994051 -9.00000009399997225));SC-19-V-C-II-2;1454-2
Polygon ((-71.49999986999995372 -9.24999999499993919, -71.24999996799994051 -9.24999999499993919, -71.24999996799994051 -9.50000014799996961, -71.49999986999995372 -9.50000014799996961, -71.49999986999995372 -9.24999999499993919));SC-19-V-C-II-3;1454-3
Polygon ((-71.24999996799994051 -9.24999999499993919, -70.99999981499996693 -9.24999999499993919, -70.99999981499996693 -9.50000014799996961, -71.24999996799994051 -9.50000014799996961, -71.24999996799994051 -9.24999999499993919));SC-19-V-C-II-4;1454-4
Polygon ((-70.99999981499996693 -9.00000009399997225, -70.74999991299995372 -9.00000009399997225, -70.74999991299995372 -9.24999999499993919, -70.99999981499996693 -9.24999999499993919, -70.99999981499996693 -9.00000009399997225));SC-19-V-C-III-1;1455-1
Polygon ((-70.99999981499996693 -9.24999999499993919, -70.74999991299995372 -9.24999999499993919, -70.74999991299995372 -9.50000014799996961, -70.99999981499996693 -9.50000014799996961, -70.99999981499996693 -9.24999999499993919));SC-19-V-C-III-3;1455-3
Polygon ((-71.7499997709999775 -9.24999999499993919, -71.49999986999995372 -9.24999999499993919, -71.49999986999995372 -9.50000014799996961, -71.7499997709999775 -9.50000014799996961, -71.7499997709999775 -9.24999999499993919));SC-19-V-C-I-4;1453-4
Polygon ((-71.7499997709999775 -9.50000014799996961, -71.49999986999995372 -9.50000014799996961, -71.49999986999995372 -9.75000004999992598, -71.7499997709999775 -9.75000004999992598, -71.7499997709999775 -9.50000014799996961));SC-19-V-C-IV-2;1528-2
Polygon ((-71.49999986999995372 -9.50000014799996961, -71.24999996799994051 -9.50000014799996961, -71.24999996799994051 -9.75000004999992598, -71.49999986999995372 -9.75000004999992598, -71.49999986999995372 -9.50000014799996961));SC-19-V-C-V-1;1529-1
Polygon ((-71.24999996799994051 -9.50000014799996961, -70.99999981499996693 -9.50000014799996961, -70.99999981499996693 -9.75000004999992598, -71.24999996799994051 -9.75000004999992598, -71.24999996799994051 -9.50000014799996961));SC-19-V-C-V-2;1529-2
Polygon ((-70.99999981499996693 -9.50000014799996961, -70.74999991299995372 -9.50000014799996961, -70.74999991299995372 -9.75000004999992598, -70.99999981499996693 -9.75000004999992598, -70.99999981499996693 -9.50000014799996961));SC-19-V-C-VI-1;1530-1
Polygon ((-70.74999991299995372 -9.00000009399997225, -70.50000001199998678 -9.00000009399997225, -70.50000001199998678 -9.24999999499993919, -70.74999991299995372 -9.24999999499993919, -70.74999991299995372 -9.00000009399997225));SC-19-V-C-III-2;1455-2
Polygon ((-70.74999991299995372 -9.24999999499993919, -70.50000001199998678 -9.24999999499993919, -70.50000001199998678 -9.50000014799996961, -70.74999991299995372 -9.50000014799996961, -70.74999991299995372 -9.24999999499993919));SC-19-V-C-III-4;1455-4
Polygon ((-71.9999999249999405 -9.50000014799996961, -71.7499997709999775 -9.50000014799996961, -71.7499997709999775 -9.75000004999992598, -71.9999999249999405 -9.75000004999992598, -71.9999999249999405 -9.50000014799996961));SC-19-V-C-IV-1;1528-1
Polygon ((-71.9999999249999405 -9.00000009399997225, -71.7499997709999775 -9.00000009399997225, -71.7499997709999775 -9.24999999499993919, -71.9999999249999405 -9.24999999499993919, -71.9999999249999405 -9.00000009399997225));SC-19-V-C-I-1;1453-1
Polygon ((-71.7499997709999775 -9.24999999499993919, -71.7499997709999775 -9.00000009399997225, -71.49999986999995372 -9.00000009399997225, -71.49999986999995372 -9.24999999499993919, -71.7499997709999775 -9.24999999499993919));SC-19-V-C-I-2;1453-2
Polygon ((-71.9999999249999405 -9.24999999499993919, -71.7499997709999775 -9.24999999499993919, -71.7499997709999775 -9.50000014799996961, -71.9999999249999405 -9.50000014799996961, -71.9999999249999405 -9.24999999499993919));SC-19-V-C-I-3;1453-3
Polygon ((-71.49999986999995372 -9.00000009399997225, -71.24999996799994051 -9.00000009399997225, -71.24999996799994051 -9.24999999499993919, -71.49999986999995372 -9.24999999499993919, -71.49999986999995372 -9.00000009399997225));SC-19-V-C-II-1;1454-1
Polygon ((-71.9999999249999405 -9.75000004999992598, -71.7499997709999775 -9.75000004999992598, -71.7499997709999775 -10.0000002029999564, -71.9999999249999405 -10.0000002029999564, -71.9999999249999405 -9.75000004999992598));SC-19-V-C-IV-3;1528-3
Polygon ((-71.7499997709999775 -9.75000004999992598, -71.49999986999995372 -9.75000004999992598, -71.49999986999995372 -10.0000002029999564, -71.7499997709999775 -10.0000002029999564, -71.7499997709999775 -9.75000004999992598));SC-19-V-C-IV-4;1528-4
Polygon ((-71.49999986999995372 -9.75000004999992598, -71.24999996799994051 -9.75000004999992598, -71.24999996799994051 -10.0000002029999564, -71.49999986999995372 -10.0000002029999564, -71.49999986999995372 -9.75000004999992598));SC-19-V-C-V-3;1529-3
Polygon ((-71.24999996799994051 -9.75000004999992598, -70.99999981499996693 -9.75000004999992598, -70.99999981499996693 -10.0000002029999564, -71.24999996799994051 -10.0000002029999564, -71.24999996799994051 -9.75000004999992598));SC-19-V-C-V-4;1529-4
Polygon ((-70.74999991299995372 -9.50000014799996961, -70.50000001199998678 -9.50000014799996961, -70.50000001199998678 -9.75000004999992598, -70.74999991299995372 -9.75000004999992598, -70.74999991299995372 -9.50000014799996961));SC-19-V-C-VI-2;1530-2
Polygon ((-70.99999981499996693 -9.75000004999992598, -70.74999991299995372 -9.75000004999992598, -70.74999991299995372 -10.0000002029999564, -70.99999981499996693 -10.0000002029999564, -70.99999981499996693 -9.75000004999992598));SC-19-V-C-VI-3;1530-3
Polygon ((-70.74999991299995372 -9.75000004999992598, -70.50000001199998678 -9.75000004999992598, -70.50000001199998678 -10.0000002029999564, -70.74999991299995372 -10.0000002029999564, -70.74999991299995372 -9.75000004999992598));SC-19-V-C-VI-4;1530-4
